#ID-Device;1;67;295;0;SAM
#ID-Device;2;67;122;0;SAM
#ID-Device;3;111;209;0;SAM
#ID-Device;4;111;36;0;SAM
#ID-Device;5;155;295;0;SAM
#ID-Device;6;155;122;0;SAM
#ID-Device;7;199;209;0;SAM
#ID-Device;8;199;36;0;SAM
#ID-Device;9;243;295;0;SAM
#ID-Device;10;243;122;0;SAM
#ID-Device;11;287;209;0;SAM
#ID-Device;12;287;36;0;SAM
#ID-Device;13;330;295;0;SAM
#ID-Device;14;330;122;0;SAM
#ID-Device;15;374;209;0;SAM
#ID-Device;16;374;36;0;SAM
#ID-Device;17;418;295;0;SAM
#ID-Device;18;418;122;0;SAM
#ID-Device;19;462;209;0;SAM
#ID-Device;20;462;36;0;SAM
#ID-Device;21;506;295;0;SAM
#ID-Device;22;506;122;0;SAM
#ID-Device;23;550;209;0;SAM
#ID-Device;24;550;36;0;SAM
#ID-Device;25;0;0;0;SAM
#ID-Device;26;0;0;0;SAM
#ID-Device;27;0;0;0;SAM
#ID-Device;28;0;0;0;SAM
#ID-Device;29;0;0;0;SAM
#ID-Device;30;0;0;0;SAM
#ID-Device;31;0;0;0;SAM
#ID-Device;32;0;0;0;SAM
43021.6322563426;041940CA08;Cohort1-3;5;293;;;1;
43021.6322610301;041940CA08;Cohort1-3;5;336;;;1;
43021.6322660185;041940CA08;Cohort1-3;5;314;;;1;
43021.6322707292;041940CA08;Cohort1-3;3;201;;;1;
43021.6322701273;041940CA08;Cohort1-3;5;294;;;1;
43021.632272581;041940CA08;Cohort1-3;1;231;;;1;
43021.6322757292;041940CA08;Cohort1-3;3;205;;;1;
43021.6322747801;041940CA08;Cohort1-3;5;327;;;1;
43021.6322797222;041940CA08;Cohort1-3;5;315;;;1;
43021.6322846991;041940CA08;Cohort1-3;5;316;;;1;
43021.6322860995;041940CA08;Cohort1-3;3;235;;;1;
43021.6322904745;041940C59A;Cohort 1-2;9;214;;;1;
43021.6322909491;041940CA08;Cohort1-3;5;214;;;1;
43021.6322914236;041940CA08;Cohort1-3;1;214;;;1;
43021.632294456;041940CA08;Cohort1-3;5;317;;;1;
43021.6322960764;041940CA08;Cohort1-3;1;217;;;1;
43021.6322994213;041940CA08;Cohort1-3;5;314;;;1;
43021.6323008681;041940CA08;Cohort1-3;1;230;;;1;
43021.6323013426;041940CA08;Cohort1-3;7;189;;;1;
43021.6323043866;041940CA08;Cohort1-3;5;200;;;1;
43021.6323056713;041940CA08;Cohort1-3;1;200;;;1;
43021.6323061458;041940CA08;Cohort1-3;7;200;;;1;
43021.6323084606;041940CA08;Cohort1-3;3;184;;;1;
43021.6323084606;041940CA08;Cohort1-3;5;278;;;1;
43021.6323129977;041940CA08;Cohort1-3;5;316;;;1;
43021.6323150926;041940CA08;Cohort1-3;1;201;;;1;
43021.6323179745;041940CA08;Cohort1-3;5;317;;;1;
43021.6323198958;041940CA08;Cohort1-3;1;201;;;1;
43021.6323234838;041940CA08;Cohort1-3;3;201;;;1;
43021.6323229398;041940CA08;Cohort1-3;5;315;;;1;
43021.6323278935;041940CA08;Cohort1-3;5;201;;;1;
43021.6323283681;041940CA08;Cohort1-3;3;199;;;1;
43021.6323315394;041940CA08;Cohort1-3;5;314;;;1;
43021.6323330787;041940CA08;Cohort1-3;3;222;;;1;
43021.6323365046;041940CA08;Cohort1-3;5;314;;;1;
43021.6323414699;041940CA08;Cohort1-3;5;315;;;1;
43021.632343206;041940CA08;Cohort1-3;1;204;;;1;
43021.6323460301;041940CA08;Cohort1-3;3;312;;;1;
43021.6323465046;041940CA08;Cohort1-3;5;311;;;1;
43021.6323514005;041940CA08;Cohort1-3;5;201;;;1;
43021.6323520949;041940CA08;Cohort1-3;3;201;;;1;
43021.6323550347;041940CA08;Cohort1-3;5;333;;;1;
43021.6323584144;041940CA08;Cohort1-3;1;200;;;1;
43021.63236;041940CA08;Cohort1-3;5;315;;;1;
43021.6323658796;041940C59A;Cohort 1-2;9;200;;;1;
43021.6323663773;041940CA08;Cohort1-3;3;198;;;1;
43021.6323649769;041940CA08;Cohort1-3;5;319;;;1;
